file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,71,css,6e248c38,Shaily-28,2025-10-10,17:08:46,-07:00,2025-10-10T17:08:46-07:00,0,9
style.css,72,css,6e248c38,Shaily-28,2025-10-10,17:08:46,-07:00,2025-10-10T17:08:46-07:00,0,9
style.css,73,css,6e248c38,Shaily-28,2025-10-10,17:08:46,-07:00,2025-10-10T17:08:46-07:00,0,12
style.css,74,css,6e248c38,Shaily-28,2025-10-10,17:08:46,-07:00,2025-10-10T17:08:46-07:00,0,11
style.css,75,css,6e248c38,Shaily-28,2025-10-10,17:08:46,-07:00,2025-10-10T17:08:46-07:00,1,13
style.css,76,css,6e248c38,Shaily-28,2025-10-10,17:08:46,-07:00,2025-10-10T17:08:46-07:00,0,0
style.css,77,css,6e248c38,Shaily-28,2025-10-10,17:08:46,-07:00,2025-10-10T17:08:46-07:00,0,9
style.css,78,css,6e248c38,Shaily-28,2025-10-10,17:08:46,-07:00,2025-10-10T17:08:46-07:00,0,13
style.css,79,css,6e248c38,Shaily-28,2025-10-10,17:08:46,-07:00,2025-10-10T17:08:46-07:00,1,10
style.css,80,css,6e248c38,Shaily-28,2025-10-10,17:08:46,-07:00,2025-10-10T17:08:46-07:00,1,21
style.css,81,css,6e248c38,Shaily-28,2025-10-10,17:08:46,-07:00,2025-10-10T17:08:46-07:00,0,0
style.css,82,css,6e248c38,Shaily-28,2025-10-10,17:08:46,-07:00,2025-10-10T17:08:46-07:00,0,10
style.css,83,css,6e248c38,Shaily-28,2025-10-10,17:08:46,-07:00,2025-10-10T17:08:46-07:00,1,18
style.css,84,css,60fdad6e,Shaily-28,2025-10-10,17:16:30,-07:00,2025-10-10T17:16:30-07:00,0,0
style.css,85,css,60fdad6e,Shaily-28,2025-10-10,17:16:30,-07:00,2025-10-10T17:16:30-07:00,0,4
style.css,86,css,60fdad6e,Shaily-28,2025-10-10,17:16:30,-07:00,2025-10-10T17:16:30-07:00,1,12
style.css,87,css,60fdad6e,Shaily-28,2025-10-10,17:16:30,-07:00,2025-10-10T17:16:30-07:00,1,30
style.css,88,css,60fdad6e,Shaily-28,2025-10-10,17:16:30,-07:00,2025-10-10T17:16:30-07:00,1,7
style.css,89,css,60fdad6e,Shaily-28,2025-10-10,17:16:30,-07:00,2025-10-10T17:16:30-07:00,0,0
style.css,90,css,60fdad6e,Shaily-28,2025-10-10,17:16:30,-07:00,2025-10-10T17:16:30-07:00,0,10
style.css,91,css,60fdad6e,Shaily-28,2025-10-10,17:16:30,-07:00,2025-10-10T17:16:30-07:00,1,12
style.css,92,css,60fdad6e,Shaily-28,2025-10-10,17:16:30,-07:00,2025-10-10T17:16:30-07:00,1,29
style.css,93,css,60fdad6e,Shaily-28,2025-10-10,17:16:30,-07:00,2025-10-10T17:16:30-07:00,1,18
style.css,94,css,60fdad6e,Shaily-28,2025-10-10,17:16:30,-07:00,2025-10-10T17:16:30-07:00,0,0
style.css,95,css,60fdad6e,Shaily-28,2025-10-10,17:16:30,-07:00,2025-10-10T17:16:30-07:00,0,17
style.css,96,css,60fdad6e,Shaily-28,2025-10-10,17:16:30,-07:00,2025-10-10T17:16:30-07:00,0,21
style.css,97,css,60fdad6e,Shaily-28,2025-10-10,17:16:30,-07:00,2025-10-10T17:16:30-07:00,1,13
style.css,98,css,60fdad6e,Shaily-28,2025-10-10,17:16:30,-07:00,2025-10-10T17:16:30-07:00,1,10
style.css,99,css,60fdad6e,Shaily-28,2025-10-10,17:16:30,-07:00,2025-10-10T17:16:30-07:00,1,21
style.css,100,css,60fdad6e,Shaily-28,2025-10-10,17:16:30,-07:00,2025-10-10T17:16:30-07:00,0,0
style.css,101,css,f31d7521,Shaily-28,2025-10-10,17:23:06,-07:00,2025-10-10T17:23:06-07:00,0,26
style.css,102,css,f31d7521,Shaily-28,2025-10-10,17:23:06,-07:00,2025-10-10T17:23:06-07:00,1,18
style.css,103,css,f31d7521,Shaily-28,2025-10-10,17:23:06,-07:00,2025-10-10T17:23:06-07:00,1,18
style.css,104,css,f31d7521,Shaily-28,2025-10-10,17:23:06,-07:00,2025-10-10T17:23:06-07:00,0,0
style.css,105,css,f31d7521,Shaily-28,2025-10-10,17:23:06,-07:00,2025-10-10T17:23:06-07:00,0,0
style.css,106,css,0c819c04,Shaily-28,2025-10-10,17:41:48,-07:00,2025-10-10T17:41:48-07:00,0,9
